,,Tot_I,Tot_I,Tot_I,Tot_I,Tot_I,Tot_I,Tot_I,Tot_I,Max_I,Max_I,Max_I,Max_I,Max_I,Max_I,Max_I,Max_I,Duration,Duration,Duration,Duration,Duration,Duration,Duration,Duration
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Model,Beta,,,,,,,,,,,,,,,,,,,,,,,,
CA: radius,0.6,25.0,84.25619834710741,25.274543785737638,0.4132231404958678,89.6694214876033,91.32231404958677,92.56198347107438,94.21487603305785,25.0,24.54545454545455,8.261664471146238,0.4132231404958678,22.31404958677686,26.65289256198347,29.132231404958674,32.85123966942149,25.0,46.8,14.583095236151571,5.0,43.0,50.0,55.0,64.0
CA: radius,0.7,25.0,87.43801652892563,18.121947035831024,0.8264462809917356,89.46280991735537,91.32231404958677,92.35537190082644,94.21487603305785,25.0,25.719008264462804,6.337993036211686,0.4132231404958678,25.0,26.65289256198347,29.338842975206614,32.231404958677686,25.0,42.44,9.570266453970863,5.0,40.0,42.0,48.0,57.0
CA: radius,0.8,25.0,87.09917355371901,18.141182206812108,0.6198347107438017,89.25619834710744,91.11570247933885,92.14876033057851,93.59504132231406,25.0,25.157024793388427,6.428320940251495,0.2066115702479339,24.380165289256198,26.033057851239672,28.305785123966942,36.15702479338843,25.0,35.36,6.909413868049879,8.0,34.0,36.0,40.0,43.0
CA: radius,0.9,25.0,80.09917355371903,30.060132666701797,0.4132231404958678,89.6694214876033,91.11570247933885,91.94214876033058,93.80165289256198,25.0,23.479338842975203,9.255890884307124,0.2066115702479339,23.7603305785124,26.446280991735538,28.92561983471074,31.40495867768595,25.0,29.44,10.661769709261842,3.0,29.0,32.0,36.0,40.0
CA: radius,1.0,25.0,81.5289256198347,30.4819761823362,0.4132231404958678,91.32231404958677,92.14876033057851,93.38842975206612,95.66115702479338,25.0,25.181818181818183,9.529050159386282,0.2066115702479339,26.446280991735538,27.685950413223143,29.75206611570248,33.67768595041322,25.0,26.16,8.76394127471577,2.0,27.0,28.0,31.0,36.0
CA: random,0.4,25.0,71.98347107438015,36.509351875932495,0.4132231404958678,83.88429752066115,89.25619834710744,91.32231404958677,94.21487603305785,25.0,20.77685950413223,10.797815327037467,0.4132231404958678,22.31404958677686,24.586776859504134,27.479338842975203,31.611570247933884,25.0,65.16,30.89994606252035,5.0,67.0,73.0,86.0,104.0
CA: random,0.5,25.0,80.13223140495866,30.13099252231044,0.4132231404958678,88.42975206611571,90.9090909090909,92.76859504132231,94.21487603305785,25.0,22.702479338842977,9.20916078678844,0.2066115702479339,21.90082644628099,24.586776859504134,28.09917355371901,33.67768595041322,25.0,56.16,23.086215223230795,2.0,52.0,56.0,66.0,95.0
CA: random,0.6,25.0,83.88429752066116,25.210280634379796,0.4132231404958678,89.6694214876033,90.9090909090909,92.14876033057851,94.83471074380165,25.0,24.50413223140496,8.120956188894445,0.4132231404958678,23.553719008264462,26.033057851239672,27.685950413223143,35.12396694214876,25.0,45.8,14.077168275852449,4.0,46.0,49.0,53.0,65.0
CA: random,0.7,25.0,91.38842975206612,2.067595888522708,86.36363636363636,90.49586776859503,91.52892561983471,92.56198347107438,95.24793388429752,25.0,27.47107438016529,3.2578087150758037,21.487603305785125,24.586776859504134,27.479338842975203,29.545454545454547,32.85123966942149,25.0,43.28,5.519057890618651,35.0,39.0,42.0,46.0,57.0
CA: random,0.8,25.0,84.26446280991735,25.27093191341247,0.4132231404958678,90.08264462809917,91.32231404958677,92.76859504132231,94.42148760330579,25.0,25.09090909090909,7.940687725195753,0.4132231404958678,24.173553719008265,26.446280991735538,28.92561983471074,32.64462809917356,25.0,34.92,9.9411602273913,6.0,33.0,36.0,40.0,48.0
CA: random,0.9,25.0,88.2231404958678,18.30437423438145,0.6198347107438017,90.9090909090909,91.73553719008265,92.56198347107438,95.24793388429752,25.0,26.272727272727273,6.093780511141673,0.4132231404958678,24.793388429752067,26.859504132231404,29.545454545454547,34.090909090909086,25.0,32.0,7.268654162452175,4.0,30.0,31.0,36.0,42.0
CA: random,1.0,25.0,92.01652892561982,1.9905964187666167,88.63636363636364,90.70247933884298,91.52892561983471,93.18181818181817,96.48760330578511,25.0,26.991735537190085,4.015163328259937,18.59504132231405,24.586776859504134,27.27272727272727,29.338842975206614,34.090909090909086,25.0,29.08,2.196967607104544,26.0,28.0,29.0,30.0,33.0
Mathematical,0.4,1.0,69.86241096462862,,69.86241096462862,69.86241096462862,69.86241096462862,69.86241096462862,69.86241096462862,1.0,19.072828206637972,,19.072828206637972,19.072828206637972,19.072828206637972,19.072828206637972,19.072828206637972,1.0,79.0,,79.0,79.0,79.0,79.0,79.0
Mathematical,0.5,1.0,70.08434202452916,,70.08434202452916,70.08434202452916,70.08434202452916,70.08434202452916,70.08434202452916,1.0,19.360412053239905,,19.360412053239905,19.360412053239905,19.360412053239905,19.360412053239905,19.360412053239905,1.0,63.0,,63.0,63.0,63.0,63.0,63.0
Mathematical,0.6,1.0,70.30497510208417,,70.30497510208417,70.30497510208417,70.30497510208417,70.30497510208417,70.30497510208417,1.0,19.558439984153125,,19.558439984153125,19.558439984153125,19.558439984153125,19.558439984153125,19.558439984153125,1.0,52.0,,52.0,52.0,52.0,52.0,52.0
Mathematical,0.7,1.0,70.54990934197485,,70.54990934197485,70.54990934197485,70.54990934197485,70.54990934197485,70.54990934197485,1.0,19.859892838057252,,19.859892838057252,19.859892838057252,19.859892838057252,19.859892838057252,19.859892838057252,1.0,45.0,,45.0,45.0,45.0,45.0,45.0
Mathematical,0.8,1.0,70.7821735505554,,70.7821735505554,70.7821735505554,70.7821735505554,70.7821735505554,70.7821735505554,1.0,20.133039591975926,,20.133039591975926,20.133039591975926,20.133039591975926,20.133039591975926,20.133039591975926,1.0,39.0,,39.0,39.0,39.0,39.0,39.0
Mathematical,0.9,1.0,71.01082835774979,,71.01082835774979,71.01082835774979,71.01082835774979,71.01082835774979,71.01082835774979,1.0,20.329086683831246,,20.329086683831246,20.329086683831246,20.329086683831246,20.329086683831246,20.329086683831246,1.0,34.0,,34.0,34.0,34.0,34.0,34.0
Mathematical,1.0,1.0,71.24384780297548,,71.24384780297548,71.24384780297548,71.24384780297548,71.24384780297548,71.24384780297548,1.0,20.692775979530477,,20.692775979530477,20.692775979530477,20.692775979530477,20.692775979530477,20.692775979530477,1.0,30.0,,30.0,30.0,30.0,30.0,30.0
